date,sex,age,NUTS,population
2019-01-01,M,0,CZ0,58167
2019-01-01,M,1,CZ0,58892
2019-01-01,M,2,CZ0,58427
2019-01-01,M,3,CZ0,57696
2019-01-01,M,4,CZ0,57513
2019-01-01,M,5,CZ0,56020
2019-01-01,M,6,CZ0,56492
2019-01-01,M,7,CZ0,56465
2019-01-01,M,8,CZ0,61724
2019-01-01,M,9,CZ0,62194
2019-01-01,M,10,CZ0,63197
2019-01-01,M,11,CZ0,60711
2019-01-01,M,12,CZ0,56282
2019-01-01,M,13,CZ0,53067
2019-01-01,M,14,CZ0,50863
2019-01-01,M,15,CZ0,48812
2019-01-01,M,16,CZ0,48416
2019-01-01,M,17,CZ0,47641
2019-01-01,M,18,CZ0,48180
2019-01-01,M,19,CZ0,47169
2019-01-01,M,20,CZ0,48060
2019-01-01,M,21,CZ0,48433
2019-01-01,M,22,CZ0,48915
2019-01-01,M,23,CZ0,52186
2019-01-01,M,24,CZ0,57778
2019-01-01,M,25,CZ0,65126
2019-01-01,M,26,CZ0,66163
2019-01-01,M,27,CZ0,70445
2019-01-01,M,28,CZ0,71115
2019-01-01,M,29,CZ0,70591
2019-01-01,M,30,CZ0,73223
2019-01-01,M,31,CZ0,73308
2019-01-01,M,32,CZ0,74668
2019-01-01,M,33,CZ0,76110
2019-01-01,M,34,CZ0,76460
2019-01-01,M,35,CZ0,76441
2019-01-01,M,36,CZ0,77788
2019-01-01,M,37,CZ0,78295
2019-01-01,M,38,CZ0,82862
2019-01-01,M,39,CZ0,90875
2019-01-01,M,40,CZ0,93288
2019-01-01,M,41,CZ0,94383
2019-01-01,M,42,CZ0,96762
2019-01-01,M,43,CZ0,97894
2019-01-01,M,44,CZ0,99035
2019-01-01,M,45,CZ0,93077
2019-01-01,M,46,CZ0,83978
2019-01-01,M,47,CZ0,78852
2019-01-01,M,48,CZ0,75603
2019-01-01,M,49,CZ0,72723
2019-01-01,M,50,CZ0,68783
2019-01-01,M,51,CZ0,68738
2019-01-01,M,52,CZ0,68958
2019-01-01,M,53,CZ0,71411
2019-01-01,M,54,CZ0,74328
2019-01-01,M,55,CZ0,70968
2019-01-01,M,56,CZ0,63515
2019-01-01,M,57,CZ0,61373
2019-01-01,M,58,CZ0,60034
2019-01-01,M,59,CZ0,58676
2019-01-01,M,60,CZ0,62152
2019-01-01,M,61,CZ0,65893
2019-01-01,M,62,CZ0,67153
2019-01-01,M,63,CZ0,67011
2019-01-01,M,64,CZ0,65973
2019-01-01,M,65,CZ0,65574
2019-01-01,M,66,CZ0,65359
2019-01-01,M,67,CZ0,63993
2019-01-01,M,68,CZ0,61879
2019-01-01,M,69,CZ0,58696
2019-01-01,M,70,CZ0,59391
2019-01-01,M,71,CZ0,59244
2019-01-01,M,72,CZ0,55189
2019-01-01,M,73,CZ0,42188
2019-01-01,M,74,CZ0,42895
2019-01-01,M,75,CZ0,40100
2019-01-01,M,76,CZ0,33933
2019-01-01,M,77,CZ0,30755
2019-01-01,M,78,CZ0,28696
2019-01-01,M,79,CZ0,23429
2019-01-01,M,80,CZ0,20977
2019-01-01,M,81,CZ0,18123
2019-01-01,M,82,CZ0,16302
2019-01-01,M,83,CZ0,14999
2019-01-01,M,84,CZ0,13548
2019-01-01,M,85,CZ0,12009
2019-01-01,M,86,CZ0,10895
2019-01-01,M,87,CZ0,9213
2019-01-01,M,88,CZ0,7728
2019-01-01,M,89,CZ0,5967
2019-01-01,M,90,CZ0,4624
2019-01-01,M,91,CZ0,3470
2019-01-01,M,92,CZ0,2561
2019-01-01,M,93,CZ0,1758
2019-01-01,M,94,CZ0,1183
2019-01-01,M,95,CZ0,869
2019-01-01,M,96,CZ0,555
2019-01-01,M,97,CZ0,330
2019-01-01,M,98,CZ0,179
2019-01-01,M,99,CZ0,87
2019-01-01,M,100+,CZ0,165
2019-01-01,M,0,CZ01,7907
2019-01-01,M,1,CZ01,7942
2019-01-01,M,2,CZ01,7586
2019-01-01,M,3,CZ01,7732
2019-01-01,M,4,CZ01,7497
2019-01-01,M,5,CZ01,7216
2019-01-01,M,6,CZ01,7272
2019-01-01,M,7,CZ01,6995
2019-01-01,M,8,CZ01,7495
2019-01-01,M,9,CZ01,7328
2019-01-01,M,10,CZ01,7258
2019-01-01,M,11,CZ01,6802
2019-01-01,M,12,CZ01,6210
2019-01-01,M,13,CZ01,5501
2019-01-01,M,14,CZ01,5280
2019-01-01,M,15,CZ01,4864
2019-01-01,M,16,CZ01,4675
2019-01-01,M,17,CZ01,4763
2019-01-01,M,18,CZ01,4929
2019-01-01,M,19,CZ01,5017
2019-01-01,M,20,CZ01,5120
2019-01-01,M,21,CZ01,5164
2019-01-01,M,22,CZ01,5230
2019-01-01,M,23,CZ01,5760
2019-01-01,M,24,CZ01,6182
2019-01-01,M,25,CZ01,7186
2019-01-01,M,26,CZ01,7596
2019-01-01,M,27,CZ01,8639
2019-01-01,M,28,CZ01,9290
2019-01-01,M,29,CZ01,9609
2019-01-01,M,30,CZ01,10339
2019-01-01,M,31,CZ01,10660
2019-01-01,M,32,CZ01,11061
2019-01-01,M,33,CZ01,11210
2019-01-01,M,34,CZ01,11365
2019-01-01,M,35,CZ01,11098
2019-01-01,M,36,CZ01,11469
2019-01-01,M,37,CZ01,11590
2019-01-01,M,38,CZ01,12018
2019-01-01,M,39,CZ01,13046
2019-01-01,M,40,CZ01,13087
2019-01-01,M,41,CZ01,13012
2019-01-01,M,42,CZ01,12860
2019-01-01,M,43,CZ01,12528
2019-01-01,M,44,CZ01,12428
2019-01-01,M,45,CZ01,11391
2019-01-01,M,46,CZ01,10295
2019-01-01,M,47,CZ01,9537
2019-01-01,M,48,CZ01,9041
2019-01-01,M,49,CZ01,8381
2019-01-01,M,50,CZ01,8015
2019-01-01,M,51,CZ01,8126
2019-01-01,M,52,CZ01,7735
2019-01-01,M,53,CZ01,8222
2019-01-01,M,54,CZ01,8534
2019-01-01,M,55,CZ01,8036
2019-01-01,M,56,CZ01,7145
2019-01-01,M,57,CZ01,6574
2019-01-01,M,58,CZ01,6583
2019-01-01,M,59,CZ01,6103
2019-01-01,M,60,CZ01,6426
2019-01-01,M,61,CZ01,6756
2019-01-01,M,62,CZ01,6820
2019-01-01,M,63,CZ01,7069
2019-01-01,M,64,CZ01,7097
2019-01-01,M,65,CZ01,7079
2019-01-01,M,66,CZ01,6990
2019-01-01,M,67,CZ01,6914
2019-01-01,M,68,CZ01,6474
2019-01-01,M,69,CZ01,6278
2019-01-01,M,70,CZ01,6425
2019-01-01,M,71,CZ01,6642
2019-01-01,M,72,CZ01,6702
2019-01-01,M,73,CZ01,5336
2019-01-01,M,74,CZ01,5594
2019-01-01,M,75,CZ01,5170
2019-01-01,M,76,CZ01,4079
2019-01-01,M,77,CZ01,3651
2019-01-01,M,78,CZ01,3248
2019-01-01,M,79,CZ01,2616
2019-01-01,M,80,CZ01,2447
2019-01-01,M,81,CZ01,2126
2019-01-01,M,82,CZ01,1961
2019-01-01,M,83,CZ01,1809
2019-01-01,M,84,CZ01,1674
2019-01-01,M,85,CZ01,1580
2019-01-01,M,86,CZ01,1440
2019-01-01,M,87,CZ01,1268
2019-01-01,M,88,CZ01,1194
2019-01-01,M,89,CZ01,886
2019-01-01,M,90,CZ01,758
2019-01-01,M,91,CZ01,589
2019-01-01,M,92,CZ01,438
2019-01-01,M,93,CZ01,308
2019-01-01,M,94,CZ01,235
2019-01-01,M,95,CZ01,159
2019-01-01,M,96,CZ01,103
2019-01-01,M,97,CZ01,60
2019-01-01,M,98,CZ01,32
2019-01-01,M,99,CZ01,12
2019-01-01,M,100+,CZ01,30
2019-01-01,M,0,CZ02,7699
2019-01-01,M,1,CZ02,8292
2019-01-01,M,2,CZ02,8080
2019-01-01,M,3,CZ02,8287
2019-01-01,M,4,CZ02,8373
2019-01-01,M,5,CZ02,8281
2019-01-01,M,6,CZ02,8301
2019-01-01,M,7,CZ02,8509
2019-01-01,M,8,CZ02,9048
2019-01-01,M,9,CZ02,8999
2019-01-01,M,10,CZ02,9080
2019-01-01,M,11,CZ02,8669
2019-01-01,M,12,CZ02,7906
2019-01-01,M,13,CZ02,7533
2019-01-01,M,14,CZ02,7004
2019-01-01,M,15,CZ02,6643
2019-01-01,M,16,CZ02,6559
2019-01-01,M,17,CZ02,6421
2019-01-01,M,18,CZ02,6170
2019-01-01,M,19,CZ02,5700
2019-01-01,M,20,CZ02,6031
2019-01-01,M,21,CZ02,6042
2019-01-01,M,22,CZ02,6136
2019-01-01,M,23,CZ02,6287
2019-01-01,M,24,CZ02,6870
2019-01-01,M,25,CZ02,7849
2019-01-01,M,26,CZ02,7963
2019-01-01,M,27,CZ02,8391
2019-01-01,M,28,CZ02,8350
2019-01-01,M,29,CZ02,8409
2019-01-01,M,30,CZ02,8689
2019-01-01,M,31,CZ02,8639
2019-01-01,M,32,CZ02,9100
2019-01-01,M,33,CZ02,9389
2019-01-01,M,34,CZ02,9582
2019-01-01,M,35,CZ02,9744
2019-01-01,M,36,CZ02,9902
2019-01-01,M,37,CZ02,10258
2019-01-01,M,38,CZ02,11010
2019-01-01,M,39,CZ02,12281
2019-01-01,M,40,CZ02,12894
2019-01-01,M,41,CZ02,12940
2019-01-01,M,42,CZ02,13274
2019-01-01,M,43,CZ02,13562
2019-01-01,M,44,CZ02,13770
2019-01-01,M,45,CZ02,12614
2019-01-01,M,46,CZ02,11310
2019-01-01,M,47,CZ02,10579
2019-01-01,M,48,CZ02,10112
2019-01-01,M,49,CZ02,9470
2019-01-01,M,50,CZ02,8918
2019-01-01,M,51,CZ02,8914
2019-01-01,M,52,CZ02,8702
2019-01-01,M,53,CZ02,8875
2019-01-01,M,54,CZ02,9339
2019-01-01,M,55,CZ02,8690
2019-01-01,M,56,CZ02,7954
2019-01-01,M,57,CZ02,7399
2019-01-01,M,58,CZ02,7053
2019-01-01,M,59,CZ02,7016
2019-01-01,M,60,CZ02,7500
2019-01-01,M,61,CZ02,7918
2019-01-01,M,62,CZ02,8256
2019-01-01,M,63,CZ02,8231
2019-01-01,M,64,CZ02,8260
2019-01-01,M,65,CZ02,8095
2019-01-01,M,66,CZ02,8215
2019-01-01,M,67,CZ02,7911
2019-01-01,M,68,CZ02,7663
2019-01-01,M,69,CZ02,7433
2019-01-01,M,70,CZ02,7451
2019-01-01,M,71,CZ02,7484
2019-01-01,M,72,CZ02,6923
2019-01-01,M,73,CZ02,5445
2019-01-01,M,74,CZ02,5296
2019-01-01,M,75,CZ02,4892
2019-01-01,M,76,CZ02,3956
2019-01-01,M,77,CZ02,3418
2019-01-01,M,78,CZ02,3233
2019-01-01,M,79,CZ02,2635
2019-01-01,M,80,CZ02,2420
2019-01-01,M,81,CZ02,2055
2019-01-01,M,82,CZ02,1923
2019-01-01,M,83,CZ02,1688
2019-01-01,M,84,CZ02,1536
2019-01-01,M,85,CZ02,1316
2019-01-01,M,86,CZ02,1245
2019-01-01,M,87,CZ02,1079
2019-01-01,M,88,CZ02,902
