date,sex,age,CZ0,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,CZ010,CZ020,CZ031,CZ032,CZ041,CZ042,CZ051,CZ052,CZ053,CZ063,CZ064,CZ071,CZ072,CZ080,CZ0100,CZ0201,CZ0202,CZ0203,CZ0204,CZ0205,CZ0206,CZ0207,CZ0208,CZ0209,CZ020A,CZ020B,CZ020C,CZ0311,CZ0312,CZ0313,CZ0314,CZ0315,CZ0316,CZ0317,CZ0321,CZ0322,CZ0323,CZ0324,CZ0325,CZ0326,CZ0327,CZ0411,CZ0412,CZ0413,CZ0421,CZ0422,CZ0423,CZ0424,CZ0425,CZ0426,CZ0427,CZ0511,CZ0512,CZ0513,CZ0514,CZ0521,CZ0522,CZ0523,CZ0524,CZ0525,CZ0531,CZ0532,CZ0533,CZ0534,CZ0631,CZ0632,CZ0633,CZ0634,CZ0635,CZ0641,CZ0642,CZ0643,CZ0644,CZ0645,CZ0646,CZ0647,CZ0711,CZ0712,CZ0713,CZ0714,CZ0715,CZ0721,CZ0722,CZ0723,CZ0724,CZ0801,CZ0802,CZ0803,CZ0804,CZ0805,CZ0806
2019-12-31,M,0,57478,7570,7744,6489,5543,8145,9580,6255,6152,7570,7744,3370,3119,1440,4103,2339,2826,2980,2802,6778,3264,2991,6152,7570,502,550,890,618,360,601,688,562,1171,888,635,279,1107,320,463,366,253,359,502,332,421,1080,322,399,288,277,455,537,448,668,654,597,403,567,628,586,516,509,938,376,911,383,572,401,559,616,1032,563,769,549,625,338,639,651,612,2349,1295,602,766,550,604,173,1245,568,659,619,513,746,736,996,417,1107,1140,834,936,1718
2019-12-31,M,1,58491,7875,7949,6579,5487,8079,9724,6417,6381,7875,7949,3413,3166,1360,4127,2390,2873,2816,2781,6943,3348,3069,6381,7875,535,581,932,591,413,617,716,563,1159,964,560,318,1099,364,436,360,272,344,538,346,393,1050,344,464,287,282,428,494,438,602,664,612,448,555,620,626,547,493,972,378,886,431,575,405,576,555,984,506,771,524,615,354,563,725,595,2337,1447,645,750,550,619,179,1349,567,628,625,559,726,752,1032,443,1223,1175,841,981,1718
2019-12-31,M,2,59080,7872,8505,6632,5643,8156,9618,6496,6158,7872,8505,3502,3130,1363,4280,2465,2928,2763,2711,6907,3366,3130,6158,7872,590,609,937,723,400,665,762,603,1263,1005,658,290,1143,330,442,361,279,395,552,318,429,1016,366,407,265,329,435,524,404,683,645,640,459,555,656,642,539,538,986,402,904,430,574,452,568,545,920,569,729,501,627,352,579,652,665,2181,1446,626,797,559,633,179,1354,549,677,607,552,745,791,1042,445,1126,1228,831,901,1627
2019-12-31,M,3,58617,7587,8276,6598,5691,8304,9467,6425,6269,7587,8276,3513,3085,1417,4274,2549,2864,2891,2662,6805,3449,2976,6269,7587,546,555,991,610,381,641,683,552,1334,1060,637,286,1130,349,424,377,290,364,579,329,393,1047,342,444,241,289,423,550,444,654,630,624,450,601,645,670,538,527,1057,427,877,392,567,422,606,561,993,565,772,489,576,346,549,702,604,2155,1508,628,714,552,644,167,1370,573,697,642,550,727,739,960,470,1154,1193,800,970,1682
2019-12-31,M,4,57863,7661,8443,6600,5670,8008,9095,6300,6086,7661,8443,3480,3120,1422,4248,2412,2829,2767,2540,6555,3346,2954,6086,7661,587,607,925,579,416,670,672,586,1368,1131,614,288,1158,357,455,366,269,377,498,337,437,1039,317,464,275,251,468,516,438,661,621,707,438,572,628,621,516,493,1008,395,882,449,556,391,551,546,972,520,729,435,633,366,529,577,614,2099,1420,585,734,530,573,166,1348,559,620,653,526,719,727,982,420,1137,1164,841,906,1618
2019-12-31,M,5,57624,7399,8505,6388,5805,7915,9468,6123,6021,7399,8505,3346,3042,1434,4371,2337,2813,2765,2756,6712,3261,2862,6021,7399,528,596,963,582,383,661,714,601,1452,1070,667,288,1094,352,440,367,243,358,492,302,406,1035,357,410,262,270,460,536,438,698,630,677,433,563,711,659,555,480,942,360,882,382,528,427,594,545,941,519,760,510,674,378,553,641,602,2074,1511,589,766,571,599,171,1324,565,618,583,514,734,731,883,473,1135,1165,769,869,1610
2019-12-31,M,6,56136,7179,8351,6227,5686,7800,8876,6122,5895,7179,8351,3357,2870,1468,4218,2383,2790,2627,2497,6379,3219,2903,5895,7179,516,551,1006,597,371,563,669,559,1466,1150,595,308,1080,350,399,371,270,343,544,301,401,920,318,426,260,244,504,524,440,684,619,653,460,574,606,622,557,487,975,364,807,407,579,408,589,540,901,498,688,470,577,336,533,581,625,2026,1363,583,712,516,554,165,1319,527,625,583,514,683,740,966,415,1143,1109,796,918,1514
2019-12-31,M,7,56619,7249,8397,6491,5616,7952,8923,6017,5974,7249,8397,3499,2992,1410,4206,2422,2756,2774,2659,6264,3178,2839,5974,7249,577,571,926,585,416,593,738,595,1416,1096,593,291,1154,329,460,353,275,384,544,334,420,972,335,405,261,265,453,529,428,646,615,621,445,572,640,667,553,465,998,406,856,390,549,401,560,588,962,495,729,513,640,372,511,623,599,1903,1327,606,754,501,574,148,1290,524,626,590,536,658,693,952,429,1148,1156,805,896,1540
2019-12-31,M,8,56610,6995,8541,6253,5960,7911,8916,6051,5983,6995,8541,3327,2926,1491,4469,2335,2829,2747,2589,6327,3191,2860,5983,6995,585,575,925,608,404,624,732,603,1423,1180,590,292,1058,326,454,341,264,375,509,326,404,979,322,389,243,263,497,520,474,742,658,704,474,541,703,647,560,494,930,351,837,421,569,381,621,564,952,514,717,487,613,335,552,602,603,1961,1350,593,713,531,576,170,1326,557,592,546,473,739,729,919,417,1117,1140,785,941,1583
2019-12-31,M,9,61823,7491,9103,6915,6600,8909,9447,6751,6607,7491,9103,3624,3291,1694,4906,2723,3171,3015,2766,6681,3532,3219,6607,7491,622,588,1035,639,431,685,828,721,1480,1127,648,299,1180,342,454,383,285,397,583,336,460,1034,382,488,284,307,551,608,535,776,766,722,500,642,794,706,646,543,1099,435,929,460,637,465,680,586,1004,590,835,510,652,375,560,669,669,1993,1497,617,748,523,634,181,1350,595,725,681,582,737,818,1082,493,1271,1343,878,934,1688
